2 1 9.145 1261.366120218579 1915.5259562841527 100 40
3 1 3.956 108.75 87.08333333333334 100 40
4 1 1.89 50.41666666666667 86.66666666666667 100 40
5 1 2.27 55.9927140255009 92.69581056466302 100 40
6 0 1.719
15 1 13.59 174.2961809879618 129.36166459111666 54.01369863013703 135.03424657534245
16 0 2.102
17 0 1.335
18 0 0.891
21 1 9.629 100.73351699041567 180.7909619360019 54.28715596330276 135.7178899082569
22 1 10.076 270.4563280226223 174.4159597213601 54.1432098765431 135.35802469135797
25 1 6.464 116.75000000000003 25 53.99999999999995 135
26 1 3.071 233.18113772455092 221.59431137724556 40 100
30 1 11.119 119.99999999999997 36.428571428571416 150 300
31 1 3.988 252.23970944309923 33.17191283292976 150 300
37 1 16.346 194.9440298507463 14.636194029850742 150 300
38 1 74.853 213.1296641791045 32.75652985074629 150 300
39 0 2546.902
42 1 6.865 248.02439024390242 28.292682926829258 150 300
43 1 4.735 158.71544715447155 47.536585365853654 150 300
44 1 2.895 41.43292682926831 22.947154471544735 150 300
45 1 4.181 57.46951219512195 59.542682926829286 150 300
46 1 3.078 304.82926829268297 22.585365853658544 150 300
51 1 14.186 43.14082278481011 37.50791139240505 150 300
52 0 3.775
53 0 33.229
54 0 2.836
55 0 2.168
56 0 1.32
57 1 3.586 122.74261603375527 57.34177215189871 150 300
